Logging to '/home/jcoccia1/scr4_mavolio2/scratch_JC/stacks/CD/CD_metapop_catalog/tsv2bam.log'.
Processing sample 'CD.LA.ZOO.M.5'...
Processing sample 'CD.PX.ALA.M.1'...
Processing sample 'CD.PX.ALA.M.2'...
Processing sample 'CD.PX.ALA.M.4'...
Processing sample 'CD.PX.ASH.U.1'...
Processing sample 'CD.PX.ASH.U.3'...
Processing sample 'CD.PX.ASH.U.4'...
Processing sample 'CD.PX.ASH.U.5'...
Processing sample 'CD.PX.ASU.M.1'...
Processing sample 'CD.PX.ASU.M.2'...
Processing sample 'CD.PX.ASU.M.3'...
Processing sample 'CD.PX.ASU.M.4'...
Processing sample 'CD.PX.ASU.M.5'...
Processing sample 'CD.PX.BUF.M.1'...
Processing sample 'CD.PX.BUF.M.2'...
Processing sample 'CD.PX.BUF.M.3'...
Processing sample 'CD.PX.BUF.M.5'...
Processing sample 'CD.PX.CAM.U.1'...
Processing sample 'CD.PX.CAM.U.3'...
Processing sample 'CD.PX.CAM.U.5'...
Processing sample 'CD.PX.CLA.M.1'...
Processing sample 'CD.PX.CLA.M.2'...
Processing sample 'CD.PX.CLA.M.3'...
Processing sample 'CD.PX.CLA.M.4'...
Processing sample 'CD.PX.COY.M.1'...
Processing sample 'CD.PX.COY.M.2'...
Processing sample 'CD.PX.COY.M.4'...
Processing sample 'CD.PX.COY.M.5'...
Processing sample 'CD.PX.DF1.M.2'...
Processing sample 'CD.PX.DF1.M.3'...
Processing sample 'CD.PX.DF1.M.4'...
Processing sample 'CD.PX.DF1.M.5'...
Processing sample 'CD.PX.ENC.M.1'...
Processing sample 'CD.PX.ENC.M.2'...
Processing sample 'CD.PX.ENC.M.3'...
Processing sample 'CD.PX.ENC.M.5'...
Processing sample 'CD.PX.LAP.M.1'...
Processing sample 'CD.PX.LAP.M.3'...
Processing sample 'CD.PX.LAP.M.4'...
Processing sample 'CD.PX.LAP.M.5'...
Processing sample 'CD.PX.MAN.M.1'...
Processing sample 'CD.PX.MAN.M.2'...
Processing sample 'CD.PX.MAN.M.3'...
Processing sample 'CD.PX.MAN.M.4'...
Processing sample 'CD.PX.MAN.M.5'...
Processing sample 'CD.PX.MON.U.2'...
Processing sample 'CD.PX.MON.U.4'...
Processing sample 'CD.PX.MON.U.5'...
Processing sample 'CD.PX.MTN.M.2'...
Processing sample 'CD.PX.MTN.M.3'...
Processing sample 'CD.PX.MTN.M.4'...
Processing sample 'CD.PX.MTN.M.5'...
Processing sample 'CD.PX.NES.U.1'...
Processing sample 'CD.PX.NES.U.2'...
Processing sample 'CD.PX.NES.U.3'...
Processing sample 'CD.PX.NES.U.4'...
Processing sample 'CD.PX.NES.U.5'...
Processing sample 'CD.PX.NET.U.2'...
Processing sample 'CD.PX.NET.U.4'...
Processing sample 'CD.PX.NUE.M.2'...
Processing sample 'CD.PX.NUE.M.5'...
Processing sample 'CD.PX.PAL.M.1'...
Processing sample 'CD.PX.PAL.M.3'...
Processing sample 'CD.PX.PAL.M.4'...
Processing sample 'CD.PX.PAL.M.5'...
Processing sample 'CD.PX.PKW.U.2'...
Processing sample 'CD.PX.PKW.U.3'...
Processing sample 'CD.PX.PKW.U.4'...
Processing sample 'CD.PX.PKW.U.5'...
Processing sample 'CD.PX.PSC.M.1'...
Processing sample 'CD.PX.PSC.M.3'...
Processing sample 'CD.PX.PSC.M.5'...
Processing sample 'CD.PX.RPC.M.1'...
Processing sample 'CD.PX.RPC.M.3'...
Processing sample 'CD.PX.RPC.M.4'...
Processing sample 'CD.PX.RPC.M.5'...
Processing sample 'CD.PX.RRT.U.2'...
Processing sample 'CD.PX.RRT.U.4'...
Processing sample 'CD.PX.RRT.U.5'...
Processing sample 'CD.PX.WES.M.1'...
Processing sample 'CD.PX.WES.M.3'...
Processing sample 'CD.PX.WES.M.4'...
Processing sample 'CD.PX.WES.M.5'...

Sample 'CD.BA.AA.U.1': matched 4837 sample loci to 4540 catalog loci; found a paired-end read for 183062 (100.0%) of the assembled forward reads; wrote 366124 records.
Sample 'CD.BA.AA.U.3': matched 2692 sample loci to 2588 catalog loci; found a paired-end read for 93605 (100.0%) of the assembled forward reads; wrote 187210 records.
Sample 'CD.BA.AA.U.4': matched 34871 sample loci to 32690 catalog loci; found a paired-end read for 2204375 (100.0%) of the assembled forward reads; wrote 4408750 records.
Sample 'CD.BA.CP.U.2': matched 5121 sample loci to 4792 catalog loci; found a paired-end read for 220342 (100.0%) of the assembled forward reads; wrote 440684 records.
Sample 'CD.BA.CP.U.4': matched 14507 sample loci to 13640 catalog loci; found a paired-end read for 673080 (100.0%) of the assembled forward reads; wrote 1346160 records.
Sample 'CD.BA.CP.U.5': matched 6400 sample loci to 5932 catalog loci; found a paired-end read for 380152 (100.0%) of the assembled forward reads; wrote 760304 records.
Sample 'CD.BA.DHI.U.2': matched 1 sample loci to 1 catalog loci; found a paired-end read for 21 (100.0%) of the assembled forward reads; wrote 42 records.
Sample 'CD.BA.DHI.U.3': matched 1 sample loci to 1 catalog loci; found a paired-end read for 52 (100.0%) of the assembled forward reads; wrote 104 records.
Sample 'CD.BA.FH.U.1': matched 11306 sample loci to 10225 catalog loci; found a paired-end read for 572128 (100.0%) of the assembled forward reads; wrote 1144256 records.
Sample 'CD.BA.FH.U.3': matched 6505 sample loci to 5978 catalog loci; found a paired-end read for 313312 (100.0%) of the assembled forward reads; wrote 626624 records.
Sample 'CD.BA.FH.U.4': matched 10114 sample loci to 9334 catalog loci; found a paired-end read for 517600 (100.0%) of the assembled forward reads; wrote 1035200 records.
Sample 'CD.BA.FH.U.5': matched 1954 sample loci to 1885 catalog loci; found a paired-end read for 63425 (100.0%) of the assembled forward reads; wrote 126850 records.
Sample 'CD.BA.GA.U.1': matched 6535 sample loci to 6058 catalog loci; found a paired-end read for 313413 (100.0%) of the assembled forward reads; wrote 626826 records.
Sample 'CD.BA.GA.U.3': matched 14458 sample loci to 12947 catalog loci; found a paired-end read for 853889 (100.0%) of the assembled forward reads; wrote 1707778 records.
Sample 'CD.BA.GA.U.4': matched 5804 sample loci to 5405 catalog loci; found a paired-end read for 273963 (100.0%) of the assembled forward reads; wrote 547926 records.
Sample 'CD.BA.GA.U.5': matched 1728 sample loci to 1624 catalog loci; found a paired-end read for 59844 (100.0%) of the assembled forward reads; wrote 119688 records.
Sample 'CD.BA.LA.U.1': matched 8508 sample loci to 7998 catalog loci; found a paired-end read for 368155 (100.0%) of the assembled forward reads; wrote 736310 records.
Sample 'CD.BA.LA.U.2': matched 16348 sample loci to 15111 catalog loci; found a paired-end read for 705702 (100.0%) of the assembled forward reads; wrote 1411404 records.
Sample 'CD.BA.LA.U.3': matched 2438 sample loci to 2356 catalog loci; found a paired-end read for 76141 (100.0%) of the assembled forward reads; wrote 152282 records.
Sample 'CD.BA.LA.U.4': matched 3240 sample loci to 2991 catalog loci; found a paired-end read for 158642 (100.0%) of the assembled forward reads; wrote 317284 records.
Sample 'CD.BA.LH-2.M.2': matched 31500 sample loci to 30525 catalog loci; found a paired-end read for 1783810 (100.0%) of the assembled forward reads; wrote 3567620 records.
Sample 'CD.BA.LH-2.M.3': matched 2973 sample loci to 2840 catalog loci; found a paired-end read for 127892 (100.0%) of the assembled forward reads; wrote 255784 records.
Sample 'CD.BA.LH-2.M.4': matched 2960 sample loci to 2788 catalog loci; found a paired-end read for 127666 (100.0%) of the assembled forward reads; wrote 255332 records.
Sample 'CD.BA.LH-2.M.5': matched 1208 sample loci to 1173 catalog loci; found a paired-end read for 41530 (100.0%) of the assembled forward reads; wrote 83060 records.
Sample 'CD.BA.LL-4.M.1': matched 11711 sample loci to 10442 catalog loci; found a paired-end read for 596856 (100.0%) of the assembled forward reads; wrote 1193712 records.
Sample 'CD.BA.LL-4.M.2': matched 7179 sample loci to 6660 catalog loci; found a paired-end read for 312619 (100.0%) of the assembled forward reads; wrote 625238 records.
Sample 'CD.BA.LL-4.M.4': matched 1944 sample loci to 1865 catalog loci; found a paired-end read for 61707 (100.0%) of the assembled forward reads; wrote 123414 records.
Sample 'CD.BA.PIK.U.1': matched 2745 sample loci to 2596 catalog loci; found a paired-end read for 107855 (100.0%) of the assembled forward reads; wrote 215710 records.
Sample 'CD.BA.PIK.U.2': matched 17591 sample loci to 15810 catalog loci; found a paired-end read for 1160303 (100.0%) of the assembled forward reads; wrote 2320606 records.
Sample 'CD.BA.PIK.U.4': matched 6049 sample loci to 5617 catalog loci; found a paired-end read for 354191 (100.0%) of the assembled forward reads; wrote 708382 records.
Sample 'CD.BA.PIK.U.5': matched 8390 sample loci to 7843 catalog loci; found a paired-end read for 448157 (100.0%) of the assembled forward reads; wrote 896314 records.
Sample 'CD.BA.PSP.M.1': matched 660 sample loci to 638 catalog loci; found a paired-end read for 19721 (100.0%) of the assembled forward reads; wrote 39442 records.
Sample 'CD.BA.PSP.M.4': matched 26899 sample loci to 25067 catalog loci; found a paired-end read for 1436071 (100.0%) of the assembled forward reads; wrote 2872142 records.
Sample 'CD.BA.RG-1.M.1': matched 1024 sample loci to 1011 catalog loci; found a paired-end read for 37449 (100.0%) of the assembled forward reads; wrote 74898 records.
Sample 'CD.BA.RG-1.M.2': matched 16676 sample loci to 16655 catalog loci; found a paired-end read for 1386772 (100.0%) of the assembled forward reads; wrote 2773544 records.
Sample 'CD.BA.RG-1.M.4': matched 398 sample loci to 393 catalog loci; found a paired-end read for 10679 (100.0%) of the assembled forward reads; wrote 21358 records.
Sample 'CD.BA.RG-1.M.5': matched 172 sample loci to 170 catalog loci; found a paired-end read for 5120 (100.0%) of the assembled forward reads; wrote 10240 records.
Sample 'CD.BA.TRC.U.1': matched 7207 sample loci to 6860 catalog loci; found a paired-end read for 247636 (100.0%) of the assembled forward reads; wrote 495272 records.
Sample 'CD.BA.TRC.U.2': matched 5564 sample loci to 5188 catalog loci; found a paired-end read for 245008 (100.0%) of the assembled forward reads; wrote 490016 records.
Sample 'CD.BA.TRC.U.3': matched 38431 sample loci to 33365 catalog loci; found a paired-end read for 1843105 (100.0%) of the assembled forward reads; wrote 3686210 records.
Sample 'CD.BA.TRC.U.5': matched 3507 sample loci to 3344 catalog loci; found a paired-end read for 122018 (100.0%) of the assembled forward reads; wrote 244036 records.
Sample 'CD.BA.W3.M.1': matched 3037 sample loci to 2936 catalog loci; found a paired-end read for 113423 (100.0%) of the assembled forward reads; wrote 226846 records.
Sample 'CD.BA.W3.M.3': matched 18779 sample loci to 16708 catalog loci; found a paired-end read for 1239382 (100.0%) of the assembled forward reads; wrote 2478764 records.
Sample 'CD.BA.W3.M.4': matched 3452 sample loci to 3324 catalog loci; found a paired-end read for 135837 (100.0%) of the assembled forward reads; wrote 271674 records.
Sample 'CD.BA.W3.M.5': matched 540 sample loci to 523 catalog loci; found a paired-end read for 18421 (100.0%) of the assembled forward reads; wrote 36842 records.
Sample 'CD.BA.WB.U.1': matched 4552 sample loci to 4287 catalog loci; found a paired-end read for 188257 (100.0%) of the assembled forward reads; wrote 376514 records.
Sample 'CD.BA.WB.U.2': matched 11895 sample loci to 10629 catalog loci; found a paired-end read for 666862 (100.0%) of the assembled forward reads; wrote 1333724 records.
Sample 'CD.BA.WB.U.3': matched 5247 sample loci to 4897 catalog loci; found a paired-end read for 294960 (100.0%) of the assembled forward reads; wrote 589920 records.
Sample 'CD.BA.WB.U.4': matched 3677 sample loci to 3492 catalog loci; found a paired-end read for 134612 (100.0%) of the assembled forward reads; wrote 269224 records.
Sample 'CD.BA.WB.U.5': matched 4789 sample loci to 4438 catalog loci; found a paired-end read for 223439 (100.0%) of the assembled forward reads; wrote 446878 records.
Sample 'CD.BA.WBO.U.1': matched 2996 sample loci to 2833 catalog loci; found a paired-end read for 102876 (100.0%) of the assembled forward reads; wrote 205752 records.
Sample 'CD.BA.WBO.U.2': matched 7341 sample loci to 6655 catalog loci; found a paired-end read for 439060 (100.0%) of the assembled forward reads; wrote 878120 records.
Sample 'CD.BA.WBO.U.3': matched 15013 sample loci to 13490 catalog loci; found a paired-end read for 732232 (100.0%) of the assembled forward reads; wrote 1464464 records.
Sample 'CD.BA.WBO.U.4': matched 2737 sample loci to 2599 catalog loci; found a paired-end read for 86709 (100.0%) of the assembled forward reads; wrote 173418 records.
Sample 'CD.BA.WBO.U.5': matched 10432 sample loci to 9510 catalog loci; found a paired-end read for 419986 (100.0%) of the assembled forward reads; wrote 839972 records.
Sample 'CD.BA.WGP.M.1': matched 1991 sample loci to 1905 catalog loci; found a paired-end read for 65257 (100.0%) of the assembled forward reads; wrote 130514 records.
Sample 'CD.BA.WGP.M.2': matched 14015 sample loci to 12435 catalog loci; found a paired-end read for 748073 (100.0%) of the assembled forward reads; wrote 1496146 records.
Sample 'CD.BA.WGP.M.3': matched 4985 sample loci to 4588 catalog loci; found a paired-end read for 280896 (100.0%) of the assembled forward reads; wrote 561792 records.
Sample 'CD.BA.WGP.M.4': matched 2671 sample loci to 2549 catalog loci; found a paired-end read for 90606 (100.0%) of the assembled forward reads; wrote 181212 records.
Sample 'CD.BA.WGP.M.5': matched 7672 sample loci to 7125 catalog loci; found a paired-end read for 394348 (100.0%) of the assembled forward reads; wrote 788696 records.
Sample 'CD.LA.ALL.M.1': matched 2846 sample loci to 2713 catalog loci; found a paired-end read for 93863 (100.0%) of the assembled forward reads; wrote 187726 records.
Sample 'CD.LA.ALL.M.2': matched 16509 sample loci to 15095 catalog loci; found a paired-end read for 1096025 (100.0%) of the assembled forward reads; wrote 2192050 records.
Sample 'CD.LA.ALL.M.3': matched 5715 sample loci to 5198 catalog loci; found a paired-end read for 267352 (100.0%) of the assembled forward reads; wrote 534704 records.
Sample 'CD.LA.ALL.M.4': matched 4603 sample loci to 4254 catalog loci; found a paired-end read for 195467 (100.0%) of the assembled forward reads; wrote 390934 records.
Sample 'CD.LA.ALL.M.5': matched 10510 sample loci to 9651 catalog loci; found a paired-end read for 489908 (100.0%) of the assembled forward reads; wrote 979816 records.
Sample 'CD.LA.GLO.M.2': matched 13532 sample loci to 12305 catalog loci; found a paired-end read for 662885 (100.0%) of the assembled forward reads; wrote 1325770 records.
Sample 'CD.LA.GLO.M.4': matched 21038 sample loci to 19528 catalog loci; found a paired-end read for 929469 (100.0%) of the assembled forward reads; wrote 1858938 records.
Sample 'CD.LA.GLO.M.5': matched 16527 sample loci to 14824 catalog loci; found a paired-end read for 784158 (100.0%) of the assembled forward reads; wrote 1568316 records.
Sample 'CD.LA.HAR.M.1': matched 6798 sample loci to 6365 catalog loci; found a paired-end read for 341996 (100.0%) of the assembled forward reads; wrote 683992 records.
Sample 'CD.LA.HAR.M.3': matched 7442 sample loci to 6874 catalog loci; found a paired-end read for 424416 (100.0%) of the assembled forward reads; wrote 848832 records.
Sample 'CD.LA.HAR.M.4': matched 13422 sample loci to 12203 catalog loci; found a paired-end read for 729416 (100.0%) of the assembled forward reads; wrote 1458832 records.
Sample 'CD.LA.HAR.M.5': matched 3216 sample loci to 3031 catalog loci; found a paired-end read for 113721 (100.0%) of the assembled forward reads; wrote 227442 records.
Sample 'CD.LA.KIN.M.1': matched 7842 sample loci to 7278 catalog loci; found a paired-end read for 421077 (100.0%) of the assembled forward reads; wrote 842154 records.
Sample 'CD.LA.KIN.M.2': matched 7041 sample loci to 6637 catalog loci; found a paired-end read for 317931 (100.0%) of the assembled forward reads; wrote 635862 records.
Sample 'CD.LA.KIN.M.3': matched 14041 sample loci to 12335 catalog loci; found a paired-end read for 719414 (100.0%) of the assembled forward reads; wrote 1438828 records.
Sample 'CD.LA.KIN.M.4': matched 3136 sample loci to 2907 catalog loci; found a paired-end read for 157150 (100.0%) of the assembled forward reads; wrote 314300 records.
Sample 'CD.LA.KIN.M.5': matched 11143 sample loci to 10022 catalog loci; found a paired-end read for 508702 (100.0%) of the assembled forward reads; wrote 1017404 records.
Sample 'CD.LA.LUB.M.2': matched 1784 sample loci to 1718 catalog loci; found a paired-end read for 54285 (100.0%) of the assembled forward reads; wrote 108570 records.
Sample 'CD.LA.LUB.M.3': matched 23421 sample loci to 20860 catalog loci; found a paired-end read for 1246341 (100.0%) of the assembled forward reads; wrote 2492682 records.
Sample 'CD.LA.LUB.M.5': matched 8473 sample loci to 7969 catalog loci; found a paired-end read for 396018 (100.0%) of the assembled forward reads; wrote 792036 records.
Sample 'CD.LA.MR2.M.1': matched 6328 sample loci to 5805 catalog loci; found a paired-end read for 295684 (100.0%) of the assembled forward reads; wrote 591368 records.
Sample 'CD.LA.MR2.M.2': matched 36358 sample loci to 34934 catalog loci; found a paired-end read for 2021264 (100.0%) of the assembled forward reads; wrote 4042528 records.
Sample 'CD.LA.MR2.M.3': matched 3029 sample loci to 2814 catalog loci; found a paired-end read for 118820 (100.0%) of the assembled forward reads; wrote 237640 records.
Sample 'CD.LA.MR2.M.4': matched 6552 sample loci to 6010 catalog loci; found a paired-end read for 302350 (100.0%) of the assembled forward reads; wrote 604700 records.
Sample 'CD.LA.MR2.M.5': matched 7046 sample loci to 6491 catalog loci; found a paired-end read for 292891 (100.0%) of the assembled forward reads; wrote 585782 records.
Sample 'CD.LA.NWH.M.1': matched 4349 sample loci to 3979 catalog loci; found a paired-end read for 216273 (100.0%) of the assembled forward reads; wrote 432546 records.
Sample 'CD.LA.NWH.M.2': matched 7585 sample loci to 7074 catalog loci; found a paired-end read for 312987 (100.0%) of the assembled forward reads; wrote 625974 records.
Sample 'CD.LA.NWH.M.3': matched 2665 sample loci to 2553 catalog loci; found a paired-end read for 86598 (100.0%) of the assembled forward reads; wrote 173196 records.
Sample 'CD.LA.NWH.M.4': matched 10013 sample loci to 9298 catalog loci; found a paired-end read for 478539 (100.0%) of the assembled forward reads; wrote 957078 records.
Sample 'CD.LA.NWH.M.5': matched 2785 sample loci to 2652 catalog loci; found a paired-end read for 89045 (100.0%) of the assembled forward reads; wrote 178090 records.
Sample 'CD.LA.ROS.M.1': matched 4554 sample loci to 4123 catalog loci; found a paired-end read for 247413 (100.0%) of the assembled forward reads; wrote 494826 records.
Sample 'CD.LA.ROS.M.3': matched 3811 sample loci to 3543 catalog loci; found a paired-end read for 147770 (100.0%) of the assembled forward reads; wrote 295540 records.
Sample 'CD.LA.ROS.M.5': matched 9835 sample loci to 8843 catalog loci; found a paired-end read for 417349 (100.0%) of the assembled forward reads; wrote 834698 records.
Sample 'CD.LA.SEP.M.1': matched 3343 sample loci to 3147 catalog loci; found a paired-end read for 121029 (100.0%) of the assembled forward reads; wrote 242058 records.
Sample 'CD.LA.SEP.M.2': matched 3957 sample loci to 3701 catalog loci; found a paired-end read for 141350 (100.0%) of the assembled forward reads; wrote 282700 records.
Sample 'CD.LA.SEP.M.3': matched 16347 sample loci to 14818 catalog loci; found a paired-end read for 863949 (100.0%) of the assembled forward reads; wrote 1727898 records.
Sample 'CD.LA.SEP.M.4': matched 12626 sample loci to 11540 catalog loci; found a paired-end read for 596871 (100.0%) of the assembled forward reads; wrote 1193742 records.
Sample 'CD.LA.SEP.M.5': matched 1762 sample loci to 1699 catalog loci; found a paired-end read for 55017 (100.0%) of the assembled forward reads; wrote 110034 records.
Sample 'CD.LA.VAL.M.2': matched 4696 sample loci to 4407 catalog loci; found a paired-end read for 214636 (100.0%) of the assembled forward reads; wrote 429272 records.
Sample 'CD.LA.VAL.M.3': matched 2916 sample loci to 2747 catalog loci; found a paired-end read for 150987 (100.0%) of the assembled forward reads; wrote 301974 records.
Sample 'CD.LA.VAL.M.4': matched 1756 sample loci to 1684 catalog loci; found a paired-end read for 61058 (100.0%) of the assembled forward reads; wrote 122116 records.
Sample 'CD.LA.VAL.M.5': matched 7809 sample loci to 7077 catalog loci; found a paired-end read for 440566 (100.0%) of the assembled forward reads; wrote 881132 records.
Sample 'CD.LA.WHI.M.1': matched 10257 sample loci to 9410 catalog loci; found a paired-end read for 465581 (100.0%) of the assembled forward reads; wrote 931162 records.
Sample 'CD.LA.WHI.M.2': matched 4056 sample loci to 3794 catalog loci; found a paired-end read for 139190 (100.0%) of the assembled forward reads; wrote 278380 records.
Sample 'CD.LA.WHI.M.3': matched 17566 sample loci to 15742 catalog loci; found a paired-end read for 946953 (100.0%) of the assembled forward reads; wrote 1893906 records.
Sample 'CD.LA.ZOO.M.2': matched 8958 sample loci to 8197 catalog loci; found a paired-end read for 538985 (100.0%) of the assembled forward reads; wrote 1077970 records.
Sample 'CD.LA.ZOO.M.3': matched 19879 sample loci to 18531 catalog loci; found a paired-end read for 1205914 (100.0%) of the assembled forward reads; wrote 2411828 records.
Sample 'CD.LA.ZOO.M.5': matched 2573 sample loci to 2449 catalog loci; found a paired-end read for 89729 (100.0%) of the assembled forward reads; wrote 179458 records.
Sample 'CD.PX.ALA.M.1': matched 4637 sample loci to 4367 catalog loci; found a paired-end read for 172449 (100.0%) of the assembled forward reads; wrote 344898 records.
Sample 'CD.PX.ALA.M.2': matched 3510 sample loci to 3210 catalog loci; found a paired-end read for 196630 (100.0%) of the assembled forward reads; wrote 393260 records.
Sample 'CD.PX.ALA.M.4': matched 5190 sample loci to 4808 catalog loci; found a paired-end read for 210667 (100.0%) of the assembled forward reads; wrote 421334 records.
Sample 'CD.PX.ASH.U.1': matched 4326 sample loci to 4052 catalog loci; found a paired-end read for 172474 (100.0%) of the assembled forward reads; wrote 344948 records.
Sample 'CD.PX.ASH.U.3': matched 4344 sample loci to 4084 catalog loci; found a paired-end read for 213637 (100.0%) of the assembled forward reads; wrote 427274 records.
Sample 'CD.PX.ASH.U.4': matched 1994 sample loci to 1921 catalog loci; found a paired-end read for 67978 (100.0%) of the assembled forward reads; wrote 135956 records.
Sample 'CD.PX.ASH.U.5': matched 4889 sample loci to 4546 catalog loci; found a paired-end read for 264806 (100.0%) of the assembled forward reads; wrote 529612 records.
Sample 'CD.PX.ASU.M.1': matched 23190 sample loci to 20979 catalog loci; found a paired-end read for 1399854 (100.0%) of the assembled forward reads; wrote 2799708 records.
Sample 'CD.PX.ASU.M.2': matched 874 sample loci to 840 catalog loci; found a paired-end read for 26850 (100.0%) of the assembled forward reads; wrote 53700 records.
Sample 'CD.PX.ASU.M.3': matched 5102 sample loci to 4770 catalog loci; found a paired-end read for 219235 (100.0%) of the assembled forward reads; wrote 438470 records.
