var,estimate,p,95% Lower,95% Upper,spp,city
nlcd_urban_pct,-0.01,0.9706,-0.186287744587714,0.171305916933786,LS,BO
soiltemp_Apr,-0.25,0.548,-0.604717383366314,0.104469698181409,LS,BO
soiltemp_Jul,0.07,0.8509,-0.279181401183461,0.41319792862465,LS,BO
R-Squared:,0.0700753299722627,NA,NA,NA,LS,BO
F-Statistic:,1.2810506570311,NA,NA,NA,LS,BO
F p-value:,0.8163,NA,NA,NA,LS,BO
distance_to_city_center,-0.4,0.0266,-0.546721981295856,-0.245564010568956,LS,LA
geodist,-0.47,0.0581,-0.624240156832351,-0.325106400219257,LS,LA
Intercept,0,0.9882,-0.0795399389264681,0.0795399389264681,LS,LA
nlcd_urban_pct,0.06,0.5033,-0.0277184748870599,0.15248683662559,LS,LA
soiltemp_Apr,0.31,0.0903,0.216981294289049,0.397463114899773,LS,LA
soiltemp_Jul,-0.02,0.8378,-0.108527462560784,0.061007788209893,LS,LA
R-Squared:,0.658343336192076,NA,NA,NA,LS,LA
F-Statistic:,56.6512997824282,NA,NA,NA,LS,LA
F p-value:,0.0189,NA,NA,NA,LS,LA
distance_to_city_center,0.02,0.9409,-0.173796135736487,0.205955924229823,LS,MN
geodist,-0.47,0.0094,-0.664651436651259,-0.27449612858754,LS,MN
Intercept,0,0.5669,-0.179194364174818,0.179194364174824,LS,MN
nlcd_urban_pct,-0.12,0.4841,-0.310658785221448,0.0783109679014523,LS,MN
soiltemp_Apr,0.33,0.3703,0.0181069500417806,0.631919641917006,LS,MN
soiltemp_Jul,-0.41,0.197,-0.718398031201618,-0.0980234570305197,LS,MN
R-Squared:,0.29909337893604,NA,NA,NA,LS,MN
F-Statistic:,5.1206828975082,NA,NA,NA,LS,MN
F p-value:,0.0729,NA,NA,NA,LS,MN
distance_to_city_center,-0.14,0.5914,-0.420664289939711,0.149858328468718,LS,PX
geodist,0.06,0.8202,-0.290330322622627,0.407255703996853,LS,PX
Intercept,0,0.8636,-0.208178983867219,0.20817898386722,LS,PX
nlcd_urban_pct,-0.12,0.3594,-0.331985536472507,0.0912733149000164,LS,PX
soiltemp_Apr,-0.16,0.8467,-1.02585759925266,0.700693478282446,LS,PX
soiltemp_Jul,0.35,0.6416,-0.392160385509593,1.09832702927617,LS,PX
R-Squared:,0.0540128477654593,NA,NA,NA,LS,PX
F-Statistic:,0.685161708226681,NA,NA,NA,LS,PX
F p-value:,0.8468,NA,NA,NA,LS,PX
distance_to_city_center,0.58,0.0052,0.386454666765427,0.780782875313948,PA,BA
geodist,-0.13,0.3044,-0.335259065089966,0.0832338357307548,PA,BA
Intercept,0,0.28,-0.179308567519164,0.179308567519162,PA,BA
nlcd_urban_pct,-0.15,0.4048,-0.339537538972516,0.0414072850583909,PA,BA
soiltemp_Apr,-0.12,0.4554,-0.388881246215143,0.147645276645828,PA,BA
soiltemp_Jul,0.1,0.7842,-0.173725484447653,0.373311858489286,PA,BA
R-Squared:,0.298199696952175,NA,NA,NA,PA,BA
F-Statistic:,5.09888118868802,NA,NA,NA,PA,BA
F p-value:,0.0943,NA,NA,NA,PA,BA
distance_to_city_center,0.09,0.8053,-0.268450140330731,0.443062302381741,PA,BO
geodist,-0.3,0.2621,-0.659463741486592,0.0524753228787634,PA,BO
Intercept,0,0.6381,-0.136474687824405,0.136474687824404,PA,BO
nlcd_urban_pct,0.04,0.7919,-0.108136053516723,0.186151213327161,PA,BO
soiltemp_Apr,0.37,0.242,0.130145374846162,0.619421370747743,PA,BO
soiltemp_Jul,-0.42,0.1933,-0.668909464178077,-0.180919390288508,PA,BO
R-Squared:,0.111236426405652,NA,NA,NA,PA,BO
F-Statistic:,3.25412423784481,NA,NA,NA,PA,BO
F p-value:,0.4281,NA,NA,NA,PA,BO
distance_to_city_center,-0.17,0.4196,-0.44205495394797,0.0970295491205502,PA,LA
geodist,-0.31,0.3217,-0.628182144025238,0.00145121859945507,PA,LA
Intercept,0,0.1284,-0.23739793334461,0.237397933344596,PA,LA
nlcd_urban_pct,-0.08,0.5967,-0.326050899049045,0.164912748863095,PA,LA
soiltemp_Apr,0.35,0.199,0.0456064782706119,0.66041497268357,PA,LA
soiltemp_Jul,0.37,0.0967,0.119523458957545,0.616417790868779,PA,LA
R-Squared:,0.208150080796563,NA,NA,NA,PA,LA
F-Statistic:,2.05035145024253,NA,NA,NA,PA,LA
F p-value:,0.3566,NA,NA,NA,PA,LA
distance_to_city_center,-0.43,0.1466,-0.73855045755894,-0.124449326580424,PA,PX
geodist,-0.01,0.9765,-0.296849369793875,0.278585673976637,PA,PX
Intercept,0,0.5712,-0.264340561162265,0.264340561162264,PA,PX
nlcd_urban_pct,-0.23,0.3265,-0.506313500943979,0.0498968952317478,PA,PX
soiltemp_Apr,0.49,0.238,-0.0261493355416166,1.01157549631353,PA,PX
soiltemp_Jul,-0.24,0.4735,-0.750339495913715,0.270198855366743,PA,PX
R-Squared:,0.251509796801339,NA,NA,NA,PA,PX
F-Statistic:,2.01613698396999,NA,NA,NA,PA,PX
F p-value:,0.4669,NA,NA,NA,PA,PX
distance_to_city_center,0.04,0.8237,-0.149687094117599,0.232029003497243,TO,BA
geodist,0.09,0.6481,-0.089451074893208,0.277656743992331,TO,BA
Intercept,0,0.0351,-0.134133976647558,0.134133976647537,TO,BA
nlcd_urban_pct,-0.08,0.5617,-0.222352449233235,0.0531240753368775,TO,BA
soiltemp_Apr,-0.07,0.7794,-0.340963938290614,0.19552138259538,TO,BA
soiltemp_Jul,0,0.9954,-0.273662528357203,0.277005199196431,TO,BA
R-Squared:,0.0283787827739128,NA,NA,NA,TO,BA
F-Statistic:,0.85870522253004,NA,NA,NA,TO,BA
F p-value:,0.9491,NA,NA,NA,TO,BA
distance_to_city_center,0.12,0.6929,-0.220205405024335,0.458284966504398,TO,BO
geodist,-0.17,0.4735,-0.509432382984015,0.161115151408634,TO,BO
Intercept,0,0.6834,-0.138831982453729,0.138831982453721,TO,BO
nlcd_urban_pct,-0.07,0.5398,-0.218573033685023,0.0705148965426735,TO,BO
soiltemp_Apr,0.15,0.5478,-0.0800744991814383,0.377928611715558,TO,BO
soiltemp_Jul,0.12,0.6453,-0.113216400893917,0.346449681073262,TO,BO
R-Squared:,0.0802684642216009,NA,NA,NA,TO,BO
F-Statistic:,2.2691187466953,NA,NA,NA,TO,BO
F p-value:,0.5396,NA,NA,NA,TO,BO
distance_to_city_center,0.05,0.8054,-0.221969000436486,0.316834884791419,TO,LA
geodist,-0.28,0.1993,-0.577058484834506,0.0148852679947787,TO,LA
Intercept,0,0.4536,-0.13512004976499,0.135120049764992,TO,LA
nlcd_urban_pct,0.23,0.1091,0.0863748784390546,0.382045375072068,TO,LA
soiltemp_Apr,-0.62,0.0695,-0.773023334944988,-0.476698334840279,TO,LA
soiltemp_Jul,0.18,0.477,-0.0040807212950186,0.354454122423723,TO,LA
R-Squared:,0.601479136745905,NA,NA,NA,TO,LA
F-Statistic:,18.1113469995393,NA,NA,NA,TO,LA
F p-value:,0.0378,NA,NA,NA,TO,LA
distance_to_city_center,-0.05,0.7679,-0.217591720077397,0.113994854980286,TO,MN
geodist,0.09,0.5078,-0.0648290619378422,0.254633600519479,TO,MN
Intercept,0,0.3552,-0.11163670226997,0.111636702270005,TO,MN
nlcd_urban_pct,0.11,0.3785,-0.00236955625078601,0.222317677482101,TO,MN
soiltemp_Apr,0.32,0.1515,0.109312464669425,0.521622668202575,TO,MN
soiltemp_Jul,-0.38,0.0829,-0.587833422453023,-0.181412372998756,TO,MN
R-Squared:,0.0643590235662548,NA,NA,NA,TO,MN
F-Statistic:,2.80646981870309,NA,NA,NA,TO,MN
F p-value:,0.4602,NA,NA,NA,TO,MN
distance_to_city_center,-0.33,0.0867,-0.587911644982308,-0.0709079908187317,TO,PX
geodist,-0.07,0.7911,-0.399433567337314,0.253539159091173,TO,PX
Intercept,0,0.9972,-0.209640089189653,0.209640089189653,TO,PX
nlcd_urban_pct,0.1,0.6242,-0.173940654659321,0.382297003642849,TO,PX
soiltemp_Apr,1.05,0.0245,0.658450590494881,1.44822579195697,TO,PX
soiltemp_Jul,-0.22,0.5605,-0.619377310098956,0.182203910507322,TO,PX
R-Squared:,0.659942782563005,NA,NA,NA,TO,PX
F-Statistic:,8.53899901070392,NA,NA,NA,TO,PX
F p-value:,0.0319,NA,NA,NA,TO,PX
